 2) + 17.921 us   |    } /* run_rebalance_domains */
 2)               |    rcu_process_callbacks() {
 2)               |      note_gp_changes() {
 2)   0.048 us    |        _raw_spin_trylock();
 2)               |        __note_gp_changes() {
 2)   0.037 us    |          rcu_advance_cbs();
 2)   0.348 us    |        }
 2)   0.034 us    |        _raw_spin_unlock_irqrestore();
 2)   1.182 us    |      }
 2)   0.060 us    |      cpu_needs_another_gp();
 2)   0.075 us    |      note_gp_changes();
 2)   0.043 us    |      cpu_needs_another_gp();
 2)   2.371 us    |    }
 2)   0.034 us    |    rcu_bh_qs();
 2)   0.020 us    |    __local_bh_enable();
 2) + 30.713 us   |  } /* __do_softirq */
 2)  gnome-t-2721  =>    <idle>-0   
 2)               |  __do_softirq() {
 2)               |    net_rx_action() {
 2)               |      e1000e_poll [e1000e]() {
 2)   0.548 us    |        e1000_clean_tx_irq [e1000e]();
 2)               |        e1000_clean_rx_irq [e1000e]() {
 2)   0.111 us    |          skb_put();
 2)   0.067 us    |          e1000_rx_checksum [e1000e]();
 2)               |          e1000_receive_skb [e1000e]() {
 2)   0.166 us    |            eth_type_trans();
 2)               |            napi_gro_receive() {
 2)   0.035 us    |              skb_gro_reset_offset();
 2)               |              dev_gro_receive() {
 2)               |                inet_gro_receive() {
 2)               |                  udp4_gro_receive() {
 2)   0.134 us    |                    udp_gro_receive();
 2)   0.502 us    |                  }
 2)   1.100 us    |                }
 2)   1.907 us    |              }
 2)               |              netif_receive_skb_internal() {
 2)   0.116 us    |                ktime_get_with_offset();
 2)               |                __netif_receive_skb() {
 2)               |                  __netif_receive_skb_core() {
 2)               |                    packet_rcv() {
 2)   0.021 us    |                      skb_push();
 2)   1.266 us    |                      __bpf_prog_run();
 2)   0.041 us    |                      consume_skb();
 2)   2.575 us    |                    }
 2)               |                    br_handle_frame [bridge]() {
 2)               |                      nf_hook_slow() {
 2)               |                        nf_iterate() {
 2)               |                          ebt_nat_in [ebtable_nat]() {
 2)               |                            ebt_do_table [ebtables]() {
 2)   0.162 us    |                              _raw_read_lock_bh();
 2)               |                              _raw_read_unlock_bh() {
 2)   0.019 us    |                                __local_bh_enable_ip();
 2)   0.250 us    |                              }
 2)   1.445 us    |                            }
 2)   1.824 us    |                          }
 2)   2.480 us    |                        }
 2)   2.767 us    |                      }
 2)               |                      br_handle_frame_finish [bridge]() {
 2)               |                        /* code_0_at_hypervisor:01:00:5e:00:00:fb */
 2)   0.086 us    |                        br_allowed_ingress [bridge]();
 2)   0.526 us    |                        br_fdb_update [bridge]();
 2)               |                        br_multicast_rcv [bridge]() {
 2)   0.080 us    |                          ip_mc_check_igmp();
 2)   0.525 us    |                        }
 2)               |                        br_mdb_get [bridge]() {
 2)   0.359 us    |                          br_mdb_ip_get [bridge]();
 2)   0.675 us    |                        }
 2)               |                        br_flood_forward [bridge]() {
 2)               |                          br_flood [bridge]() {
 2)   0.027 us    |                            br_allowed_egress [bridge]();
 2)               |                            deliver_clone [bridge]() {
 2)               |                              skb_clone() {
 2)   0.204 us    |                                kmem_cache_alloc();
 2)               |                                __skb_clone() {
 2)   0.064 us    |                                  __copy_skb_header();
 2)   0.427 us    |                                }
 2)   1.233 us    |                              }
 2)               |                              __br_forward [bridge]() {
 2)   0.034 us    |                                br_handle_vlan [bridge]();
 2)               |                                br_forward_finish [bridge]() {
 2)               |                                  nf_hook_slow() {
 2)               |                                    nf_iterate() {
 2)               |                                      ebt_nat_out [ebtable_nat]() {
 2)               |                                        ebt_do_table [ebtables]() {
 2)   0.037 us    |                                          _raw_read_lock_bh();
 2)               |                                          _raw_read_unlock_bh() {
 2)   0.027 us    |                                            __local_bh_enable_ip();
 2)   0.310 us    |                                          }
 2)   0.905 us    |                                        }
 2)   1.124 us    |                                      }
 2)   1.423 us    |                                    }
 2)   1.686 us    |                                  }
 2)               |                                  br_dev_queue_push_xmit [bridge]() {
 2)   0.122 us    |                                    is_skb_forwardable();
 2)   0.028 us    |                                    skb_push();
 2)               |                                    dev_queue_xmit() {
 2)               |                                      __dev_queue_xmit() {
 2)   0.108 us    |                                        netdev_pick_tx();
 2)               |                                        validate_xmit_skb.isra.103.part.104() {
 2)               |                                          netif_skb_features() {
 2)   0.027 us    |                                            passthru_features_check();
 2)   0.028 us    |                                            skb_network_protocol();
 2)   0.700 us    |                                          }
 2)   1.056 us    |                                        }
 2)   0.019 us    |                                        _raw_spin_lock();
 2)               |                                        dev_hard_start_xmit() {
 2)               |                                          tun_net_xmit() {
 2)               |                                            __skb_get_hash() {
 2)               |                                              __skb_flow_dissect() {
 2)   0.051 us    |                                                __skb_flow_get_ports();
 2)   0.886 us    |                                              }
 2)   1.556 us    |                                            }
 2)               |                                            skb_queue_tail() {
 2)   0.021 us    |                                              _raw_spin_lock_irqsave();
 2)   0.024 us    |                                              _raw_spin_unlock_irqrestore();
 2)   0.482 us    |                                            }
 2)               |                                            sock_def_readable() {
 2)               |                                              __wake_up_sync_key() {
 2)   0.021 us    |                                                _raw_spin_lock_irqsave();
 2)               |                                                __wake_up_common() {
 2)               |                                                  pollwake() {
 2)               |                                                    default_wake_function() {
 2)               |                                                      try_to_wake_up() {
 2)   0.102 us    |                                                        _raw_spin_lock_irqsave();
 2)   0.177 us    |                                                        task_waking_fair();
 2)               |                                                        select_task_rq_fair() {
 2)               |                                                          select_idle_sibling() {
 2)   0.152 us    |                                                            idle_cpu();
 2)   0.364 us    |                                                          }
 2)   0.862 us    |                                                        }
 2)   0.020 us    |                                                        _raw_spin_lock();
 2)               |                                                        ttwu_do_activate.constprop.91() {
 2)               |                                                          activate_task() {
 2)   0.298 us    |                                                            update_rq_clock.part.81();
 2)               |                                                            enqueue_task_fair() {
 2)               |                                                              enqueue_entity() {
 2)   0.084 us    |                                                                update_curr();
 2)   0.039 us    |                                                                __compute_runnable_contrib();
 2)   0.038 us    |                                                                __compute_runnable_contrib();
 2)   0.128 us    |                                                                account_entity_enqueue();
 2)   0.180 us    |                                                                update_cfs_shares();
 2)   0.072 us    |                                                                place_entity();
 2)   0.055 us    |                                                                __enqueue_entity();
 2)   2.388 us    |                                                              }
 2)               |                                                              enqueue_entity() {
 2)   0.234 us    |                                                                update_curr();
 2)   0.020 us    |                                                                __compute_runnable_contrib();
 2)   0.019 us    |                                                                __compute_runnable_contrib();
 2)   0.035 us    |                                                                account_entity_enqueue();
 2)   0.203 us    |                                                                update_cfs_shares();
 2)   0.028 us    |                                                                place_entity();
 2)   0.028 us    |                                                                __enqueue_entity();
 2)   2.141 us    |                                                              }
 2)               |                                                              enqueue_entity() {
 2)   0.135 us    |                                                                update_curr();
 2)   0.028 us    |                                                                __compute_runnable_contrib();
 2)   0.027 us    |                                                                __compute_runnable_contrib();
 2)   0.028 us    |                                                                account_entity_enqueue();
 2)   0.190 us    |                                                                update_cfs_shares();
 2)   0.082 us    |                                                                place_entity();
 2)   0.030 us    |                                                                __enqueue_entity();
 2)   2.318 us    |                                                              }
 2)               |                                                              enqueue_entity() {
 2)   0.113 us    |                                                                update_curr();
 2)   0.021 us    |                                                                __compute_runnable_contrib();
 2)   0.020 us    |                                                                __compute_runnable_contrib();
 2)   0.042 us    |                                                                account_entity_enqueue();
 2)   0.079 us    |                                                                update_cfs_shares();
